case_id,duration_seconds,teaching_experience,gender,age_group,first_submission_mastery,rubric_clear_aligned,feedback_specific_relevant,feedback_helped_improve,feedback_timely,overall_feedback_quality,most_valuable_text,improvement_text,prior_ai_experience,ai_awareness,ai_comfort,ai_as_useful_as_human,preferred_feedback_model,additional_ai_comments,duration_minutes,duration_flag,rubric_clear_aligned_num,feedback_specific_relevant_num,feedback_helped_improve_num,feedback_timely_num,feedback_experience,feedback_experience_3item,feedback_experience_maximum,feedback_experience_3item_maximum
L118,471,11-20 years,Female,31-40,"No, I didn't.",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Excellent,I took the feedback and applied to future lessons,No changes,No experience,Not aware at all,Somewhat disagree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,No,7.85,Not flagged,5,5,5,4,4.75,4.666666666666667,FALSE,FALSE
L119,8056,4-10 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Excellent,"El aspecto más valioso del proceso de calificación y retroalimentación para esta tarea fue recibir comentarios que me ayudaron a identificar qué estaba haciendo bien y qué podía mejorar. La retroalimentación me permitió comprender mejor cómo planificar actividades. Gracias a esas observaciones, pude fortalecer mi forma de planificar las actividades y hacerlas más intencionales, siempre enfocándome en las necesidades e intereses de los niños.",todo está perfecto a mi entender,Some experience,Somewhat aware,Strongly agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,Creo que todo está bien y se puede seguir mejorando,134.26666666666668,Over 1 hour,5,5,4,5,4.75,4.666666666666667,FALSE,FALSE
L120,542,0-3 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The feedback process was very effective and productive for my work.,Everything was fine for me.,Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,Thanks for all your help,9.033333333333331,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L121,348,0-3 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The teacher was precise and clear about the grading and feedback.,There is no need of any changes.,Minimal experience,Not aware at all,Neither agree nor disagree,Neither agree nor disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"No, it was a great experience.",5.8,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L122,583,0-3 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The feedback was clear and specific. It helped me understand what I did well and gave me simple ideas to improve my teaching activities.,The feedback was helpful.,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,"The AI feedback was helpful, easy to understand, and helped me improve my assignments. I liked that a human instructor also reviewed the work.",9.716666666666669,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L123,173,4-10 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,I have no preference.,NA,2.8833333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L124,358,4-10 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Always helped to get mastery and make the content easier to understand.,All feedbacks are clear n easily understandable.,Some experience,Somewhat aware,Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,5.966666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L125,84,4-10 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,1.4,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L126,594,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,El aspecto más que considero más valioso en la calificación es que te dan sugerencias de cómo podrías haber respondido y te dan la posibilidad de volver a elaborar de forma correcta tu respuesta,Creo que el proceso de calificación está muy bien estructurado,Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,Es una herramienta que podemos utilizar para retroalimentar nuestro conocimiento,9.9,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L127,259,11-20 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,By learning new things in this assignment and activity,No changes is necessary,Some experience,Somewhat aware,Somewhat agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,Nothing at this time,4.316666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L128,118,4-10 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Good,It was very specific and helped me better understand the assignment,I thought everything was great,Some experience,"Yes, fully aware",Strongly agree,Neither agree nor disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"I like learning about the AI. Thought that it was a good tool to learn, especially moving forward in the world. We are in today.",1.9666666666666663,1 to under 2 minutes,5,5,4,4,4.5,4.333333333333333,FALSE,FALSE
L129,216,0-3 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Good,La retroalimentación fue muy valiosa porque me ayudó a entender qué partes de mi tarea estaban correctas y qué debía mejorar. También me dio una mejor idea de cómo completar las próximas tareas.,"Me gustaría que la retroalimentación fuera un poco más específica, con ejemplos claros de lo que se debe corregir. Eso ayudaría a mejorar la experiencia de aprendizaje.",Some experience,Somewhat aware,Strongly agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,3.6,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L130,258,0-3 years,Female,<30,"Yes, I did.",Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Fair,"The timely manner. When I had to wait for and instructor to grade the assignment it could take a while, but this was very quick so if I hadn’t to make revisions I had time.",Faster turnaround time or longer periods that the assignments are open so I have time to make revisions as needed.,Minimal experience,"Yes, fully aware",Somewhat disagree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,No,4.3,Not flagged,4,3,3,5,3.75,4,FALSE,FALSE
L131,425,4-10 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Good,NA,NA,Some experience,"Yes, fully aware",Somewhat agree,Neither agree nor disagree,I have no preference.,NA,7.083333333333333,Not flagged,5,5,5,4,4.75,4.666666666666667,FALSE,FALSE
L132,2566,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,I valued very much the detailed feedback provided on my work. It helped me identify my strengths and understand areas for improvements.,The grading and feedback process was helpful overall. The timing was perfect and it allowed me to apply the suggestions in my upcoming assignments.,Some experience,Somewhat aware,Somewhat agree,Somewhat agree,I have no preference.,"As a VPK teacher, I found AI to be a valuable tool for supporting lesson plans, creating classroom materials, and improving communication with families. AI has helped me save time and increase productivity while allowing me to focus more on my students learning.",42.766666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L133,160,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"Overall, it was useful in the classroom",The grading was fair,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,Nothing else to share at this time.,2.6666666666666665,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L134,1142,20+ years,Female,50+,"No, I didn't.",Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Good,The most valuable aspect of the grading and feedback process for infant toddler assignment 3 was being able to evaluate how children applied course concepts to authentic situations involving infants and Toddlers.,One change that would improve the grading and feedback process would be allowing more time for individualized feedback and opportunities to children's to revise their work after receiving comments.,Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"Overall, my experience with AL in teaching and learning has been positive. Ot has helped streamline the grading process., support the creation of meaningful feedback, and improve efficiency while maintaining high expectations for children learning.",19.033333333333335,Not flagged,5,5,5,1,4,3.6666666666666665,FALSE,FALSE
L135,228,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,I appreciated the feedback from the instructor - made it feel more personal.,"The wording when I logged in was difficult to understand - at times it made me feel like I had missed something. Also, had questions about my total score and could not easily figure out how to ask someone about it",Minimal experience,Somewhat aware,Neither agree nor disagree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,3.8,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L136,141,11-20 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,"Yes, fully aware",Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,2.35,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L137,95645,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Good,Honestly the urge to know my grading and know the feedback.,none.,No experience,"Yes, fully aware",Somewhat agree,Neither agree nor disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,None.,1594.0833333333333,Over 1 hour,5,5,5,5,5,5,TRUE,TRUE
L138,265,11-20 years,Female,50+,Unsure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Communication & specific details I was lacking in. It was a push to excel to perfection.,I just love how persistent my professor was! She didn’t let me settled for a low score despite what was happening in my life.,No experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,I remained neutral as it was my 1st experience.,4.416666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L139,679,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,11.316666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L140,401,11-20 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,your feedback,"The current process is adequate. If anything were to be adjusted, it would be to add brief qualitative comments alongside the rating to highlight which aspects were handled well and which require attention.",Some experience,Not aware at all,Neither agree nor disagree,Neither agree nor disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,no.,6.683333333333334,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L141,509,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"For me, one aspect is having understood the importance of each comment in order to achieve the course objective",There would be very few changes; one would be more communication with the instructor.,Minimal experience,Somewhat aware,Somewhat agree,Neither agree nor disagree,AI provides all feedback; human instructor reviews only disputed grades.,I think it's a good idea for the teaching and learning practice to be mixed.,8.483333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L142,376,0-3 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Good,Todos los aspectos me encantaron aprendí mucho,Me gustaron todos para mi no lleva cambios,Extensive experience,"Yes, fully aware",Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,No,6.266666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L143,199,4-10 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The most valuable part of the grading and feedback process was seeing exactly what I did well and what needed improvement. It helped me understand the expectations more clearly and showed me how to strengthen my work for future assignments. The feedback felt specific enough that I knew what to adjust instead of guessing.,N/a,No experience,Somewhat aware,Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,N/a,3.316666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L144,266,11-20 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,4.433333333333334,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L145,269,4-10 years,Male,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Minimal experience,"Yes, fully aware",Somewhat agree,Somewhat agree,I have no preference.,NA,4.483333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L146,248,0-3 years,Female,31-40,Unsure,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Poor,No comment,The instructors need to not assume things and need to not be so narrow minded,Minimal experience,Somewhat aware,Neither agree nor disagree,Neither agree nor disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,4.133333333333334,Not flagged,4,2,2,1,2.25,2.3333333333333335,FALSE,FALSE
L147,397,4-10 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,La maestra 👩‍🏫 me explicaba mis errores con mucho respeto ✊ ayudándome a mejorar cada día más!!,La comunicación continua de preguntas habiertas hacia los infantes y toddlers,Some experience,"Yes, fully aware",Neither agree nor disagree,Strongly agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,Yo utilizo IA para mejorar mi inglés ya que mi gramática no es la mejor mi primera lengua es Español.,6.616666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L148,161,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,2.683333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L149,93,4-10 years,Female,31-40,"Yes, I did.",Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Good,NA,NA,Some experience,"Yes, fully aware",Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,1.55,1 to under 2 minutes,4,4,4,5,4.25,4.333333333333333,FALSE,FALSE
L150,78,0-3 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,It was straightforward and helpful,None,No experience,Not aware at all,Neither agree nor disagree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,No,1.3,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L151,339356,4-10 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Excellent,Individualized and accepting of difficulties with meeting criteria in a special education classroom,Updates on when assignment will receive feedback,Minimal experience,"Yes, fully aware",Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,Hope it is an aide not a human replacement,5655.933333333333,Over 1 hour,5,5,5,4,4.75,4.666666666666667,FALSE,FALSE
L152,1599,11-20 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"The most valuable aspect was the clear and specific feedback, which showed me how to improve.","Receiving more detailed, constructive feedback more quickly would significantly improve my learning. Also, receiving timely feedback on smaller milestones would be very helpful.",Minimal experience,"Yes, fully aware",Strongly agree,Strongly agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"I am concerned about the risks Artificial Intelligence may pose to children, primarily because it can foster a reliance on technology and hinder cognitive development; children do not reason when using this tool, which diminishes their creativity and attention span, and it also limits social interactions with other children and people.",26.65,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L153,447,11-20 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,I appreciated the details that were specific to my responses.,N/A,Minimal experience,"Yes, fully aware",Strongly agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,7.45,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L154,171,11-20 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"The most valuable aspect of the grading and feedback process was receiving specific, constructive feedback that helped me understand both my strengths and the areas I can continue to improve. The feedback clarified how oral language development supports emergent literacy and reinforced the importance of using evidence-based instructional strategies. It also helped me reflect on my teaching practices and identify ways to better support children's language, communication, and early literacy skills in the classroom.","One improvement that would enhance my learning experience would be receiving a brief explanation for any incorrect responses, along with examples of the correct instructional strategy or concept. Seeing why an answer is correct and how it applies in a real classroom setting would deepen my understanding and help me apply the concepts more confidently in my teaching practice.",Some experience,Somewhat aware,Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,2.85,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L155,233,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The information I got helped me understand the assignment better.,I would not change the grading system,Some experience,Somewhat aware,Somewhat agree,Somewhat agree,I have no preference.,No,3.8833333333333337,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L156,965,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,This assignment gave us the opportunity to share valuable information on educational tasks.,I think it's beneficial to receive positive feedback so I can put it into practice in my teaching and learning to improve my performance.,Minimal experience,Somewhat aware,Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,AI can serve as an information resource.,16.083333333333332,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L157,397,11-20 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Good,El mas valioso fue el comentarios de los preparadores. Y lo objetivo y especifica de cada uno de ellos. Esto me ayudo a ir directamente a resolver y organizar las ideas.,En algunos casos muy poco. Fue el tiempo de recibirla,Minimal experience,Not aware at all,Neither agree nor disagree,Somewhat disagree,AI provides initial feedback; human instructor reviews every submission before grades are final.,Nada,6.616666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L158,6446,4-10 years,Prefer not to say,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The contributions and suggestions received so clearly and professionally from the instructor,None,Some experience,"Yes, fully aware",Strongly agree,Strongly disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"Personally, I would like to delve deeper into AI tools in order to apply them to early Childhood education.",107.43333333333334,Over 1 hour,5,5,5,5,5,5,TRUE,TRUE
L159,1376,11-20 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"The feedback was clear, specific, and helpful. It highlighted both my strengths and the areas where I could improve, which made it easier to understand how to do better on future assignments.","The current grading and feedback process was helpful. If I could suggest one improvement, it would be to provide feedback a little sooner so I have more time to apply it to future assignments.",No experience,"Yes, fully aware",Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"No tengo comentarios adicionales. En general, considero que la IA es una herramienta útil para apoyar el aprendizaje y ofrecer retroalimentación rápida y clara, aunque siempre debe complementarse con la orientación de un instructor.",22.933333333333337,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L160,178,4-10 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,llevar a Cabo las estrategias,ninguno,Some experience,"Yes, fully aware",Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,no,2.966666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L161,383,11-20 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"I am not sure if you mean the one from PLD or the practicum, but either way the feedback from my instructor was always positive and clarified that I was on the right track with my lessons.",I do not think any changes need to be made with the grading process. The expectations were very clear. I knew what I needed to do for the assignment beforehand and could plan accordingly.,Minimal experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,I really appreciated how quickly AI graded my assignment.,6.383333333333334,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L162,527,4-10 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,La pronta respuesta y asesoria en casa caso,Creo que ninguno! Todo estuvo muy bien gestionado,No experience,Not aware at all,Somewhat disagree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"Pues, la verdad IA me parece buena! Pero nada supera la interaction con un humano!",8.783333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L163,77,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,I have no preference.,NA,1.2833333333333334,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L164,1164,0-3 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"Respuestas detalladas y ejemplos específicos Las respuestas del profesional son completas y cubren todas las preguntas presentadas en el formulario de evaluación, El practicante describe claramente los objetivos previstos, especificando el desarrollo de la comunicación temprana, la atención compartida, el turno y el lenguaje receptivo/expresivo. Fue todo muy explícito me pareció excelente.","Me explicaron en detalle y considero que estuvo bien, pero siempre es necesario tener el criterio del profesor",No experience,Not aware at all,Somewhat agree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"La AI pueden ofrecer comentarios rápidos, claros y útiles para identificar áreas de mejora. No obstante, considero importante que ese feedback complemente, y no sustituya, la evaluación y el criterio del profesor, especialmente cuando se requiere una valoración más personalizada o contextual.",19.4,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L165,241,4-10 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The opportunity of learning,None,Minimal experience,Somewhat aware,Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,No,4.016666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L166,234,4-10 years,Female,<30,Unsure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,No experience,Not aware at all,Neither agree nor disagree,Neither agree nor disagree,I have no preference.,NA,3.9,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L167,240,4-10 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Helpful assignment,How to be come a better professional,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,I have no preference.,Nothing else,4,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L168,235,20+ years,Female,Prefer not to say,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Feedback was very detailed,None,Minimal experience,"Yes, fully aware",Somewhat agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,No,3.9166666666666665,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L169,936,20+ years,Female,50+,Unsure,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Good,It was ok,NA,Some experience,Somewhat aware,Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,15.6,Not flagged,4,4,4,4,4,4,FALSE,FALSE
L170,451,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"Receiving a quick turnaround for feedback on my assignment in the event I needed to re-do anything. Luckily, I did not need to re-do my assignment, but if I needed to I would have had enough time to fix anything for resubmission of the assignment.","I do not see a need for any changes to the grading or feedback process. The grading was fair, the feedback was clear and timely, and I felt I had enough information to understand my performance and make improvements if needed. Overall, I was satisfied with the process.",Minimal experience,"Yes, fully aware",Neither agree nor disagree,Neither agree nor disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"I prefer learning from a human. AI can be helpful sometimes, but I value the interaction and feedback from an instructor more.",7.516666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
